,name,country,latitude,longitude,population,evangelical,language,religion,description,,
106,Jat (Sikh),,,,,,,Hindu,,,
107,Jordanians (Arab),,,,,,,Muslim,,,
108,Joshi,,,,,,,Hindu,,,
109,Kabardian,Russia,,,,,,Muslim,,Caucasus / Russia,2018
110,Kahar,,,,,,,Hindu,,,
111,Kahar Kamkar,,,,,,,Hindu,,,
112,Kaili Ledo (Central Sulawesi),,,,,,,Muslim/Animist,,Southeast Asia,
113,Kalmyks,,,,,,,Muslim,,,
114,Kami (Biswakarma),,,,,,,Hindu,,,
115,Kanda (Kand),,,,,,,Hindu,,,
116,Kandu (Kanu),,,,,,,Hindu,,,
117,"Kanuri, Yerwa",,,,,,,Muslim,,Sahel,2Q / 2022
118,Karakalpaks (Central Asian),,,,,,,Muslim,,Central Asia,2019
119,Karmakar,,,,,,,Hindu,,,
120,Kayastha,,,,,,,Hindu,,,
121,Kazak,,,,,,,Muslim,,,
122,Kera,,,,,,,Animist,,Sahel,2Q / 2022
123,Kewat,,,,,,,Hindu,,,
124,Khan,,,,,,,Muslim,,,
125,Khapid,,,,,,,Muslim,,,
126,Khar (Khan),India,,,,,,Muslim,,Urdu / India,4Q / 2024
127,Khatik,India,,,,,,Muslim,,Urdu / India,3Q / 2023
128,Khatri,,,,,,,Hindu,,,
129,Khatwa,,,,,,,Hindu,,,
130,Kohar,,,,,,,Hindu,,,
131,Koiri (Kushwaha),,,,,,,Hindu,,,
132,Kolta (Kuta),,,,,,,Hindu,,Ganges,1Q / 2023
133,Kotoko,,,,,,,Muslim,,Sahel,2Q / 2022
134,Kubachi,,,,,,,Muslim,,North Caucasus,4Q / 2022
135,Kumhar,,,,,,,Hindu,,,
136,Kunjra,,,,,,,Hindu,,,
137,Kurds,,,,,,,Muslim,,Persian,2012
138,Kurmi,,,,,,,Hindu,,,
139,Kyrgyz (Central Asian),,,,,,,Muslim,,Central Asia,2016
140,Lady,,,,,,,Hindu,,,
141,Lak ,Azerbaijan,,,,,,Muslim,,Azerbaijani,3Q / 2022
142,Lama,,,,,,,Buddhist,,Himalayan,2Q / 2023
142,Lezgin,Russia,,,,,,Muslim,,Caucasus / Azerbaijan; Russia (2019),
143,Lezgi,Azerbaijan,,,,,,Muslim,,Caucasus / Azerbaijan; Russia (2019),2018
144,Lodha (Hindu traditions),India,,,,,,Hindu,,Ganges / India,4Q / 2024
145,Lohar,,,,,,,Hindu,,,
146,Lunia (Nonia),,,,,,,Hindu,,,
147,Magar,,,,,,,Hindu,,,
148,Majhi,,,,,,,Hindu,,Himalayan,4Q / 2022
149,Mali (Malakar),,,,,,,Hindu,,,
150,Mallah (Mandal),,,,,,,Hindu,,,
151,Mari,,,,,,,Muslim,,,
152,Masahur,,,,,,,Hindu,,Himalayan,2Q / 2023
153,Masna,,,,,,,Muslim,,,
154,Maur,,,,,,,Muslim,,,
155,Mayastha,,,,,,,Hindu,,,
156,Mestar,,,,,,,Hindu,,,
157,Miao,,,,,,,Animist,,,
158,Mirasi,India,,,,,,Muslim,,Urdu / India,3Q / 2023
159,Mochi,,,,,,,Hindu,,,
160,Monia,,,,,,,Hindu,,,
161,Moor,Mauratania,,,,,,Muslim,,Magreb / Mauritania,2020
162,Mugal,Nepal,,,,,,Hindu,,Himalayan / Nepal,3Q / 2023
163,Mugate-Gypsy,,,,,,,Muslim,,,
164,Muna,,,,,,,Muslim,,Indonesia,4Q / 2022
165,Muna,Indonesia,,,,,,Hindu,,,
166,Mundang,,,,,,,Animist,,,
167,Musahar (Mushar),,,,,,,Hindu,,Ganges,2017
168,Naau,India,,,,,,Muslim,,Urdu / India,4Q / 2024
169,"Nai (Napit, Naiya)",,,,,,,Hindu,,Ganges,3Q / 2022
170,Nat,,,,,,,Hindu,,,
171,Nepali,,,,,,,Hindu,,,
172,Newar,,,,,,,Hindu,,,
173,Nmadi,,,,,,,Muslim,,,
174,Noliya,,,,,,,Hindu,,,
175,Nubian (North Africa),,,,,,,Muslim,,,
176,Nut,,,,,,,Hindu,,,
177,Oromo,,,,,,,Muslim,,Sahel,2Q / 2022
178,Ossetian,Russia,,,,,,Atheist,,Caucasus / Russia,2018
179,Pal,,,,,,,Hindu,,,
180,Palthaan,India,,,,,,Muslim,,Urdu / India,4Q / 2024
181,Pamir (Shughini),Azerbaijan,,,,,,Muslim,,Azerbaijani,3Q / 2022
182,Pandit,,,,,,,Hindu,,,
